gender,ownhome,approval_senator2,partisan_identity,voted_president_party,protestantism_branch,has_child,religion,union_membership,religion_importance,approval_president,race_ethnicity,approval_governor,citizen,age,economy_retro,educ,approval_house_representative,church_attendance,employment_status,family_income,uninsured,no_immediate_family_served_military,state,year,union_membership_household,evangelical,approval_senator1,marital_status,interest_in_news,ideology,voted_general_election,registered_party,voted_senator_party,intention_house_representative_vote,registration_status,intention_to_vote,intention_president_vote,self_reported_turnout,intention_senator_vote,voted_house_representative_party,intention_governor_vote,voted_governor_party
Female,Own,Approve / Somewhat Approve,Not Very Strong Democrat,Did not Vote,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Non-Citizen,19,Gotten better / somewhat better,Some College,Approve / Somewhat Approve,Once or Twice a Month,Student,80k - 100k,Yes,Yes,Texas,2021,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Only now and then,Liberal,,,,,,,,,,,,
Female,Own,Approve / Somewhat Approve,Not Very Strong Democrat,,Not protestant,Yes,Hindu,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Non-Citizen,43,Gotten better / somewhat better,4-Year,Never Heard / Not Sure,Once a Week,Homemaker,100k - 120k,No,Yes,New Jersey,2016,union_hh,No,Never Heard / Not Sure,Married,Only now and then,Not Sure,No Record of Voting,No Record of Party Registration,,,Unregistered,No,Democratic,,,,,
Female,Own,Strongly Approve,Strong Democrat,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,71,Gotten much better,Post-Grad,Strongly Approve,Once a Week,Retired,120k - 150k,No,No,Minnesota,2022,union_hh,No,Strongly Approve,Married,Some of the time,Liberal,,,,Democratic,,"Yes, definitely",,Yes,,Democratic,Democratic,Democratic
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Other Candidate,Not protestant,Yes,Hindu,union,Very Important,Strongly Disapprove,Asian,Disapprove / Somewhat Disapprove,,26,Gotten much worse,4-Year,Never Heard / Not Sure,Once or Twice a Month,Part-Time,150k+,No,Yes,California,2015,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Own,Never Heard / Not Sure,Not Very Strong Democrat,,Presbyterian,No,Protestant,union,Very Important,Never Heard / Not Sure,Asian,Never Heard / Not Sure,Citizen,32,Stayed about the same,4-Year,Never Heard / Not Sure,Once a Week,Full-Time,60k - 70k,No,Yes,Michigan,2016,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Don't Know,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,,,,,,
Male,Own,Strongly Disapprove,Lean Democrat,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,78,Gotten better / somewhat better,Post-Grad,Strongly Approve,Once a Week,Retired,Prefer not to say,No,Yes,Louisiana,2018,union_hh,No,Strongly Disapprove,Married,Most of the time,Moderate,Voted,No Record of Party Registration,,Democratic,Active,"Yes, definitely",,Yes,,Democratic,,
Male,Own,Never Heard / Not Sure,Lean Democrat,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Never Heard / Not Sure,Citizen,27,Gotten much worse,High School Graduate,Never Heard / Not Sure,A Few Times a Year,Unemployed,50k - 60k,No,Yes,Connecticut,2020,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Most of the time,Very Liberal,No Record of Voting,No Record of Party Registration,,Democratic,Active,Undecided,Democratic,No,,,,
Female,Rent,Strongly Approve,Strong Democrat,Democratic,Methodist,No,Protestant,union,Very Important,Strongly Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,47,Gotten better / somewhat better,Post-Grad,Strongly Approve,A Few Times a Year,Part-Time,Prefer not to say,No,No,Nevada,2010,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Most of the time,Moderate,Voted,,Democratic,Democratic,Active,,,Yes,Democratic,Democratic,Democratic,Democratic
Male,Rent,Approve / Somewhat Approve,Not Very Strong Republican,Did not Vote,Something Else,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Approve,Citizen,22,Stayed about the same,Some College,Approve / Somewhat Approve,More Than Once a Week,Student,20k - 30k,Yes,Yes,California,2021,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Only now and then,Moderate,,,,,,,,,,,,
Female,Rent,Never Heard of this Person,Not Sure,,Not protestant,Yes,Hindu,union,Very Important,Never Heard / Not Sure,Asian,Never Heard / Not Sure,Non-Citizen,30,Gotten better / somewhat better,Post-Grad,Never Heard of this Person,A Few Times a Year,Homemaker,60k - 70k,No,Yes,Texas,2019,union_hh,No,Never Heard of this Person,Married,Don't Know,Not Sure,,,,,,,,,,,,
Male,Own,Strongly Approve,Not Very Strong Republican,Republican,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,46,Stayed about the same,Post-Grad,Never Heard / Not Sure,Once a Week,Full-Time,Prefer not to say,No,No,Ohio,2016,union_hh,Yes,Never Heard / Not Sure,Married,Only now and then,Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Male,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Presbyterian,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,58,Gotten worse / somewhat worse,Post-Grad,Strongly Disapprove,Once a Week,Temporarily Laid Off,Less than 10k,No,Yes,New York,2014,union_hh,Yes,Approve / Somewhat Approve,Divorced,Most of the time,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,"Yes, definitely",,Yes,,Democratic,Democratic,Democratic
Male,Own,Strongly Disapprove,Independent,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,51,Gotten much worse,4-Year,Strongly Disapprove,A Few Times a Year,Part-Time,80k - 100k,No,Yes,California,2022,union_hh,No,Strongly Disapprove,Married,Most of the time,Conservative,,,Republican,Democratic,,"Yes, definitely",,Yes,Republican,Democratic,Republican,Republican
Male,Own,Disapprove / Somewhat Disapprove,Independent,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,56,Gotten much better,Post-Grad,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,80k - 100k,No,Yes,Maryland,2020,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,,Unregistered,No,,No,,,,
Female,,Approve / Somewhat Approve,Not Very Strong Republican,Republican,Not protestant,Yes,Mormon,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Approve,Citizen,36,Gotten worse / somewhat worse,High School Graduate,Disapprove / Somewhat Disapprove,More Than Once a Week,Homemaker,Less than 10k,,Yes,Utah,2008,union_hh,No,Strongly Approve,Married,Most of the time,Conservative,Voted,,,,Active,,,Yes,,Republican,Republican,Republican
Female,Other,Strongly Disapprove,Not Very Strong Republican,,Not protestant,No,Nothing in Particular,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,31,Gotten much worse,4-Year,Never Heard / Not Sure,Once a Week,Full-Time,Less than 10k,No,Yes,California,2020,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Only now and then,Moderate,Voted,No Record of Party Registration,,,Active,"Yes, definitely",,Yes,,,,
Female,Own,Disapprove / Somewhat Disapprove,,Republican,Baptist,Yes,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,40,Stayed about the same,Post-Grad,Disapprove / Somewhat Disapprove,More Than Once a Week,Part-Time,150k+,No,Yes,Virginia,2018,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Some of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",,,Republican,,,
Male,Own,Strongly Approve,Strong Republican,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,35,Gotten much worse,Post-Grad,Strongly Approve,Once a Week,Full-Time,80k - 100k,No,Yes,Illinois,2021,union_hh,Yes,Strongly Approve,Married,Some of the time,Very Conservative,,,,,,,,,,,,
Female,Rent,Never Heard of this Person,Not Sure,,Church of Christ or Disciples of Christ,Yes,Protestant,union,Very Important,Never Heard / Not Sure,Asian,Never Heard / Not Sure,Non-Citizen,28,Not sure,Some College,Never Heard of this Person,Once a Week,Homemaker,40k - 50k,No,Yes,Washington,2018,union_hh,Yes,Never Heard of this Person,Married,Don't Know,Not Sure,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,,,,,,
Female,Other,Disapprove / Somewhat Disapprove,Strong Republican,Republican,Baptist,No,Protestant,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Citizen,37,Not sure,2-Year,Strongly Approve,Once a Week,Full-Time,Prefer not to say,No,No,Louisiana,2019,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Only now and then,Not Sure,,,,,,,,,,,,
Male,Rent,Never Heard of this Person,Not Very Strong Republican,,Not protestant,Yes,Muslim,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,61,Gotten worse / somewhat worse,4-Year,Never Heard of this Person,More Than Once a Week,Full-Time,60k - 70k,No,Yes,New York,2014,union_hh,No,Strongly Approve,Married,Don't Know,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,"Yes, definitely",,No,,,,
Male,Own,Never Heard of this Person,Independent,Republican,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,54,Gotten much better,4-Year,Approve / Somewhat Approve,Once a Week,Full-Time,70k - 80k,Yes,No,California,2018,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Only now and then,Moderate,Voted,No Record of Party Registration,Democratic,,Active,"Yes, definitely",,Yes,,Republican,Republican,Republican
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Not protestant,No,Something Else,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Approve / Somewhat Approve,Citizen,63,Gotten worse / somewhat worse,4-Year,,Once a Week,Full-Time,80k - 100k,No,Yes,Hawaii,2016,union_hh,Yes,Approve / Somewhat Approve,Married,Hardly at all,Conservative,Voted,No Record of Party Registration,Democratic,,Active,"Yes, definitely",Republican,Yes,Democratic,Democratic,,
Male,Own,Strongly Disapprove,Independent,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,79,Gotten much worse,Some College,Strongly Disapprove,More Than Once a Week,Temporarily Laid Off,80k - 100k,No,No,New Jersey,2010,union_hh,No,Strongly Disapprove,Married,Most of the time,Conservative,Voted,,,Republican,Active,,,Yes,,Republican,,
Female,Own,Strongly Disapprove,Strong Republican,Republican,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,31,Gotten much worse,4-Year,Strongly Disapprove,Once or Twice a Month,Full-Time,80k - 100k,No,Yes,California,2016,union_hh,No,Strongly Disapprove,Single / Never Married,Most of the time,Liberal,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Republican,Yes,,,,
Male,Own,Disapprove / Somewhat Disapprove,Independent,Democratic,Presbyterian,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,25,Gotten worse / somewhat worse,4-Year,Never Heard / Not Sure,More Than Once a Week,Full-Time,150k+,No,Yes,Texas,2016,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Only now and then,Moderate,Voted,No Record of Party Registration,,,Active,"Yes, definitely",Republican,Yes,,Democratic,,
Female,Rent,Approve / Somewhat Approve,Independent,,Jehovah's Witness,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,30,Gotten worse / somewhat worse,High School Graduate,Approve / Somewhat Approve,Once a Week,Other,Prefer not to say,No,Yes,Delaware,2020,union_hh,No,Never Heard / Not Sure,Single / Never Married,Hardly at all,Not Sure,No Record of Voting,No Record of Party Registration,,,Unregistered,No,,,,,,
Male,Rent,Strongly Approve,Strong Democrat,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,33,Gotten much worse,Post-Grad,Disapprove / Somewhat Disapprove,Once or Twice a Month,Full-Time,100k - 120k,No,Yes,California,2018,union_hh,No,Strongly Approve,Single / Never Married,Most of the time,Liberal,Voted,No Record of Party Registration,Democratic,,Active,I already voted (early or absentee),,Yes,,Democratic,,Democratic
Female,Own,Approve / Somewhat Approve,Not Very Strong Republican,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,39,Gotten worse / somewhat worse,Post-Grad,Disapprove / Somewhat Disapprove,Seldom,Full-Time,Prefer not to say,No,No,Hawaii,2017,union_hh,No,Disapprove / Somewhat Disapprove,Married,Most of the time,Conservative,,,,,,,,,,,,
Male,Own,Never Heard of this Person,Not Sure,,Nondenominational or Independent Church,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Never Heard / Not Sure,Citizen,18,Gotten better / somewhat better,Some College,Never Heard of this Person,Once a Week,Student,Prefer not to say,No,No,California,2014,union_hh,Yes,Never Heard of this Person,Single / Never Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,No,,,,,,
Female,Own,Approve / Somewhat Approve,Not Very Strong Republican,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,,24,Gotten much better,Some College,Approve / Somewhat Approve,Once or Twice a Month,Part-Time,10k - 20k,No,No,Texas,2015,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Conservative,,,,,,,,,,,,
Male,Rent,Strongly Approve,Not Very Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,69,Not sure,4-Year,Disapprove / Somewhat Disapprove,Don't Know,Homemaker,Prefer not to say,No,No,Hawaii,2022,union_hh,No,Strongly Approve,Single / Never Married,Most of the time,Very Liberal,,,Democratic,,,I already voted (early or absentee),,Yes,,Democratic,,
Female,Rent,Never Heard of this Person,Independent,,Not protestant,Yes,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,28,Gotten better / somewhat better,Some College,Never Heard of this Person,Once a Week,Homemaker,80k - 100k,No,Yes,Michigan,2014,union_hh,No,Never Heard of this Person,Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,,,,,,
Male,Own,Strongly Approve,Lean Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,63,Gotten much worse,4-Year,Never Heard / Not Sure,Once a Week,Retired,100k - 120k,No,Yes,Maryland,2020,union_hh,No,Strongly Approve,Divorced,Most of the time,Moderate,Voted,Democratic Party,,,Active,I already voted (early or absentee),,Yes,,Democratic,,
Male,Own,Approve / Somewhat Approve,Independent,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,63,Gotten much worse,4-Year,Approve / Somewhat Approve,Once or Twice a Month,Full-Time,120k - 150k,No,Yes,Maryland,2020,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,Voted,No Record of Party Registration,,Democratic,Active,Plan to vote early,Democratic,Yes,,Democratic,,
Male,Other,Strongly Disapprove,Strong Democrat,,Not protestant,No,Muslim,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Non-Citizen,29,Gotten better / somewhat better,2-Year,Never Heard of this Person,Once a Week,Student,Prefer not to say,No,Yes,Texas,2018,union_hh,No,Never Heard of this Person,Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,Undecided,,,Democratic,,Democratic,
Male,Own,Never Heard / Not Sure,Not Sure,Did not Vote,Not protestant,No,Roman Catholic,union,Very Important,Never Heard / Not Sure,Asian,Never Heard / Not Sure,Citizen,20,Not sure,Some College,Never Heard / Not Sure,Once a Week,Student,Less than 10k,No,Yes,Texas,2022,union_hh,No,Never Heard / Not Sure,Single / Never Married,Don't Know,Not Sure,,,,,,No,,No,,,Republican,
Male,,Strongly Disapprove,Lean Republican,Did not Vote,Not protestant,Yes,Hindu,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,29,Gotten much worse,4-Year,Never Heard / Not Sure,Once a Week,Full-Time,70k - 80k,,Yes,Texas,2008,union_hh,No,Disapprove / Somewhat Disapprove,Married,Some of the time,Moderate,No Record of Voting,,,Republican,No Record of Registration,,Republican,,Republican,,,
Male,Rent,Disapprove / Somewhat Disapprove,Independent,Democratic,Not protestant,Yes,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,,31,Gotten worse / somewhat worse,4-Year,Disapprove / Somewhat Disapprove,More Than Once a Week,Full-Time,40k - 50k,No,Yes,Alabama,2015,union_hh,No,Disapprove / Somewhat Disapprove,Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Rent,Strongly Disapprove,Strong Republican,Other Candidate,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,56,Gotten much worse,Post-Grad,Disapprove / Somewhat Disapprove,Once or Twice a Month,Part-Time,80k - 100k,Yes,Yes,New York,2016,union_hh,No,Strongly Disapprove,Single / Never Married,Most of the time,Conservative,Voted,No Record of Party Registration,Republican,,Active,Undecided,,Yes,,Republican,,
Male,Own,Approve / Somewhat Approve,Not Very Strong Republican,Republican,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,36,Stayed about the same,Post-Grad,Approve / Somewhat Approve,Once a Week,Full-Time,20k - 30k,No,Yes,Florida,2013,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Some of the time,Moderate,,,,,,,,,,,,
Female,Rent,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,60,Gotten much worse,2-Year,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,80k - 100k,No,No,Hawaii,2022,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Some of the time,Conservative,,,Republican,Republican,,Probably,,Yes,Republican,Republican,Republican,Republican
Male,Rent,Strongly Approve,Not Sure,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,,23,Gotten better / somewhat better,Some College,Strongly Approve,A Few Times a Year,Unemployed,100k - 120k,No,Yes,Minnesota,2013,union_hh,No,Strongly Approve,Single / Never Married,Some of the time,Conservative,,,,,,,,,,,,
Male,Rent,Strongly Disapprove,Strong Democrat,,Baptist,No,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,28,Gotten much better,Post-Grad,Approve / Somewhat Approve,More Than Once a Week,Full-Time,20k - 30k,No,No,Wyoming,2016,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Democratic,No,,,,
Female,Own,Approve / Somewhat Approve,Strong Republican,Republican,Not protestant,No,Buddhist,union,Very Important,Strongly Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,77,Gotten worse / somewhat worse,High School Graduate,Approve / Somewhat Approve,Seldom,Retired,80k - 100k,No,No,Pennsylvania,2020,union_hh,No,Strongly Disapprove,Married,Most of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Republican,Yes,,Republican,,
Female,Own,Never Heard / Not Sure,Lean Democrat,,Not protestant,No,Something Else,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Citizen,22,Gotten worse / somewhat worse,Some College,Never Heard / Not Sure,Once a Week,Student,50k - 60k,No,Yes,Ohio,2016,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,"Yes, definitely",Democratic,,,,,
Female,Rent,Strongly Approve,Not Very Strong Democrat,,Baptist,Yes,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,38,Stayed about the same,Some College,Approve / Somewhat Approve,Once a Week,Full-Time,70k - 80k,No,No,Hawaii,2016,union_hh,Yes,Approve / Somewhat Approve,Domestic Partnership,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,Unregistered,Probably,Democratic,,Democratic,,,
Male,Rent,Strongly Disapprove,Lean Republican,Republican,Not protestant,No,Nothing in Particular,union,Very Important,Strongly Approve,Asian,Strongly Disapprove,Citizen,21,Gotten much better,Some College,Strongly Approve,Seldom,Student,80k - 100k,No,Yes,California,2018,union_hh,Yes,Strongly Disapprove,Single / Never Married,Only now and then,Conservative,Voted,No Record of Party Registration,,Republican,Active,"Yes, definitely",,Yes,,Republican,Republican,Republican
Female,Own,Strongly Approve,Not Very Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,57,Stayed about the same,Post-Grad,Strongly Approve,Once a Week,Full-Time,50k - 60k,No,Yes,Florida,2018,union_hh,No,Strongly Approve,Married,Only now and then,Very Conservative,Voted,No Record of Party Registration,Democratic,Democratic,Active,"Yes, definitely",,Yes,Republican,Democratic,Democratic,Democratic
Male,Rent,Strongly Approve,Lean Republican,Democratic,Something Else,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,31,Gotten much worse,Post-Grad,Approve / Somewhat Approve,More Than Once a Week,Unemployed,20k - 30k,Yes,Yes,Illinois,2020,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Only now and then,Moderate,Voted,No Record of Party Registration,Democratic,Democratic,Active,"Yes, definitely",Democratic,Yes,Democratic,Democratic,,
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Approve / Somewhat Approve,Citizen,34,Gotten worse / somewhat worse,No HS,Approve / Somewhat Approve,Never,Temporarily Laid Off,Prefer not to say,No,Yes,Michigan,2020,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Conservative,Voted,No Record of Party Registration,Republican,,Active,I already voted (early or absentee),,Yes,,Democratic,,
Male,Rent,Strongly Approve,Strong Democrat,,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Non-Citizen,31,Gotten much better,Post-Grad,Strongly Approve,A Few Times a Year,Full-Time,60k - 70k,No,No,Massachusetts,2018,union_hh,Yes,Strongly Approve,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,Democratic,Democratic,No Record of Registration,Probably,,Yes,Republican,Democratic,Democratic,Democratic
Female,Own,Strongly Disapprove,Lean Republican,Other Candidate,Baptist,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,36,Gotten much worse,4-Year,Strongly Disapprove,Once or Twice a Month,Full-Time,100k - 120k,No,No,Florida,2016,union_hh,Yes,Strongly Disapprove,Married,Only now and then,Liberal,No Record of Voting,No Record of Party Registration,Democratic,,No Record of Registration,I already voted (early or absentee),,Yes,,Republican,,
Female,Other,Disapprove / Somewhat Disapprove,Independent,Democratic,Not protestant,Yes,Mormon,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,43,Stayed about the same,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Part-Time,60k - 70k,No,Yes,Hawaii,2020,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Very Conservative,Voted,No Record of Party Registration,,,Active,Plan to vote early,,Yes,,Republican,,
Female,Rent,Never Heard / Not Sure,Strong Democrat,Did not Vote,Not protestant,Yes,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,29,Stayed about the same,4-Year,Disapprove / Somewhat Disapprove,A Few Times a Year,Homemaker,80k - 100k,No,Yes,Virginia,2021,union_hh,No,Never Heard / Not Sure,Married,Most of the time,Very Liberal,,,,,,,,,,,,
Male,Own,Strongly Approve,Lean Republican,Republican,Church of Christ or Disciples of Christ,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,53,Stayed about the same,4-Year,Strongly Approve,More Than Once a Week,Full-Time,150k+,No,Yes,Georgia,2016,union_hh,Yes,Strongly Approve,Married,Most of the time,Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,Probably,,Yes,Republican,Republican,,
Male,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,27,Gotten much better,2-Year,Approve / Somewhat Approve,More Than Once a Week,Student,30k - 40k,No,Yes,New York,2010,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,,,Democratic,Active,,,No,Democratic,,Democratic,
Female,Own,Never Heard of this Person,Independent,,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,38,Gotten better / somewhat better,Some College,Never Heard of this Person,Once a Week,Full-Time,30k - 40k,No,Yes,Indiana,2019,union_hh,No,Never Heard of this Person,Married,Hardly at all,Not Sure,,,,,,,,,,,,
Female,Rent,Approve / Somewhat Approve,Not Very Strong Democrat,Democratic,Not protestant,Yes,Muslim,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,30,Stayed about the same,Post-Grad,Approve / Somewhat Approve,Once a Week,Homemaker,70k - 80k,No,Yes,New York,2014,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",,Yes,,Democratic,Democratic,
Female,Own,Strongly Disapprove,Lean Democrat,Democratic,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,60,Stayed about the same,Post-Grad,Never Heard of this Person,Once a Week,Full-Time,100k - 120k,No,Yes,Missouri,2019,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Moderate,,,,,,,,,,,,
Female,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Approve / Somewhat Approve,Non-Citizen,33,Stayed about the same,2-Year,Approve / Somewhat Approve,Once a Week,Homemaker,20k - 30k,No,Yes,Illinois,2017,union_hh,Yes,Approve / Somewhat Approve,Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,36,Gotten worse / somewhat worse,No HS,Disapprove / Somewhat Disapprove,Don't Know,Unemployed,Prefer not to say,No,Yes,Michigan,2022,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Conservative,,,,Republican,,"Yes, definitely",,Yes,,Republican,Republican,Republican
